Nom de la société,Nom de la filiale,Numéro de SIREN,Numéro de SIRET,Nombre de salariés,Nom de l'assureur,Type d'assurance souscrit,Niveau de contrat,Localisation,Montant total des assurances par filiale,Moyenne des montants des contrats d'assurances par salarié,Date de souscription,Durée du contrat,Numéro de contrat,Prénom et Nom du contact principal,Email du contact principal,Téléphone du contact principal,Taux de sinistralité,Taux de satisfaction des assurés,Code APE,Pourcentage hommes,Pourcentage femmes,Ancienneté de l'entreprise,Secteur d'activité,Taux de renouvellement des contrats,Primes annuelles par salarié,Statut du contrat,Commentaires ou notes spécifiques,Indice de performance financière,Nombre de sinistres déclarés,Réductions appliquées
TechCorp,Filiale A,995126355,99512635536719,208,MAIF,Assurance invalidité,5,Occitanie,1719008.51,8264.46,2020-10-25,7,a5ded316-1083-4b0c-b539-ca2babe002a4,Nathalie Ribeiro de Dupré,laetitiacamus@example.com,05 08 21 83 26,7.12,9,664 6,42,58,39,Finance,42.52,1515.22,En attente de renouvellement,Poste roche battre désespoir quart maladie tellement.,83,4,False
TechCorp,Filiale B,995126355,99512635527279,343,AXA,Assurance santé collective,5,Auvergne-Rhône-Alpes,1995006.11,5816.34,2020-08-10,6,cf258b7a-e017-4535-a70a-584f3951a4e7,Maurice Laporte Le Godard,julien99@example.com,02 58 94 13 81,7.39,10,664 6,58,42,39,Finance,31.86,3112.71,Actif,Milieu payer souhaiter guère yeux moindre vieux.,1,4,True
TechCorp,Filiale C,995126355,99512635512803,161,MAIF,Assurance accident de travail,4,Auvergne-Rhône-Alpes,871855.41,5415.25,2024-04-02,1,7368121e-f1c7-45aa-a8ff-ffc58b3fc26d,Constance Paris-Godard,menardmichelle@example.net,+33 (0)7 63 78 75 05,9.1,10,664 6,60,40,39,Finance,70.62,4983.29,En attente de renouvellement,Bonheur as exister quel occasion enfermer.,14,8,True
TechCorp,Filiale D,995126355,99512635595102,383,AXA,Assurance décès,4,Occitanie,1147273.78,2995.49,2020-11-12,4,77828ca7-b182-47a1-b3cd-b99ff75a0b15,Augustin-Laurent Muller,nathnguyen@example.com,02 61 71 54 23,7.73,10,664 6,59,41,39,Finance,53.06,666.16,Résilié,Clef tel sueur midi.,35,4,True
TechCorp,Filiale E,995126355,99512635591199,397,CNP Assurances,Assurance invalidité,4,Île-de-France,1718598.87,4328.96,2021-04-08,5,7b9e5b56-8d97-4c08-ae4b-72aba15a6863,Margaud Jacques,chartierjosette@example.com,+33 2 21 38 57 45,0.47,2,664 6,69,31,39,Finance,80.42,1568.57,Actif,Épaule être toute réponse trente représenter mon obliger.,8,3,False
TechCorp,Filiale F,995126355,99512635547489,430,CNP Assurances,Assurance hospitalisation,1,Nouvelle-Aquitaine,79419.88,184.7,2022-05-17,3,48d9c79a-1e2a-41dd-b7dd-7f51c9ff19c3,Élisabeth du Fernandez,zklein@example.com,+33 2 52 25 94 67,8.6,5,664 6,37,63,39,Finance,69.66,524.34,Actif,Science aider conversation passion.,81,10,False
EcoBuild,Filiale A,397564926,39756492616180,286,MAIF,Assurance prévoyance,2,Provence-Alpes-Côte d'Azur,700199.4,2448.25,2022-04-14,9,467e47e5-2f0a-4aa9-b947-ce839d62e657,Franck Lefort de Gay,celinamorvan@example.com,0329949499,4.71,2,456 0,63,37,94,Énergie,58.99,3017.93,Résilié,Étaler cerveau aller.,1,4,True
EcoBuild,Filiale B,397564926,39756492620815,458,MAIF,Assurance décès,3,Nouvelle-Aquitaine,1702272.39,3716.75,2022-07-08,8,45ed8a4d-3285-443f-a498-d15f7bb44c6a,Dorothée Laporte,guillaume70@example.net,06 31 78 32 26,5.5,8,456 0,48,52,94,Énergie,84.63,625.29,Actif,Dégager qualité commander.,51,0,True
EcoBuild,Filiale C,397564926,39756492650460,27,Groupama,Assurance décès,5,Nouvelle-Aquitaine,213746.55,7916.54,2023-12-26,4,7cbd4fb9-c0be-4b6f-967b-c630856c641c,Sébastien Loiseau,clemence28@example.com,+33 4 11 25 67 02,4.35,3,456 0,67,33,94,Énergie,37.42,3627.86,Résilié,Marchand éclater instant sourire cuisine soutenir.,16,10,False
EcoBuild,Filiale D,397564926,39756492628724,476,Groupama,Assurance invalidité,3,Grand Est,630956.61,1325.54,2021-08-14,4,2fd1f267-a0bf-4ff6-8c40-d540f61e75f8,Alfred Perrin,baillyeleonore@example.com,0689402874,1.39,3,456 0,65,35,94,Énergie,82.91,2715.54,Actif,Santé quoi amour fin feuille.,82,1,False
